"Channel","Chargeback","Early Pay Discount","Co-Op","Freight Allowance","Labor","Damage Allowance","End Cap","Discount Special","Trade Discount","Total Discount"
"Amazon 1P","0.015","0.02","0.04","0.03","0","0","0","0","0","0.09"
"Home Depot US","0.03","0.02",,"0","0","0","0","0.0125","0.0528","0.0863"
"Home Depot CA","0.03","0.02",,"0.0315","0.025","0","0","0.0125","0.0528","0.0863"
"Best Buy","0.02","0","0","0","0","0","0","0","0","0"
"Walmart 1P","0.015","0.01","0","0","0","0.0209","0","0.01","0","0.041"
"Costco.com",,,,,,,,,,"0.0783"
